
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","極端值"
"01","11.6 / 20","12.3 / 30","12.8 / 50","11.9 / 50","12.4 / 50","11.0 / 30","11.4 / 80","12.0 / 50","12.7 / 50","12.0 / 40","11.9 / 40","10.7 / 40","10.9 / 100","10.8 / 40","10.5 / 70","12.2 / 30","9.7 / 30","7.2 / 20","3.7 / 300","3.3 / 310","2.9 / 310","2.8 / 300","3.0 / 240","3.4 / 260","12.8 / 50"
"02","3.0 / 250","3.6 / 240","3.4 / 250","3.8 / 270","3.8 / 280","4.0 / 250","4.9 / 250","3.9 / 260","4.9 / 240","3.8 / 220","3.4 / 150","3.8 / 130","4.5 / 130","5.1 / 110","3.7 / 120","2.7 / 180","1.8 / 150","2.2 / 280","3.0 / 310","2.5 / 320","3.6 / 240","3.6 / 240","3.9 / 220","4.9 / 250","5.1 / 110"
"03","6.0 / 260","5.7 / 240","5.6 / 240","5.8 / 250","6.0 / 250","5.9 / 250","6.2 / 240","6.4 / 240","4.6 / 240","3.0 / 250","5.7 / 80","10.3 / 80","14.3 / 60","18.0 / 30","16.8 / 30","15.2 / 40","15.1 / 60","14.7 / 50","14.0 / 50","13.9 / 80","14.1 / 40","13.5 / 40","14.9 / 60","15.6 / 60","18.0 / 30"
"04","14.5 / 50","14.7 / 60","12.4 / 60","11.1 / 40","7.4 / 40","4.8 / 300","5.5 / 320","2.6 / 300","2.8 / 220","3.1 / 240","4.7 / 360","5.5 / 350","6.5 / 50","7.3 / 50","6.6 / 20","5.0 / 30","4.0 / 350","3.8 / 310","3.0 / 310","2.9 / 290","5.0 / 240","5.6 / 260","5.9 / 250","5.9 / 230","14.7 / 60"
"05","4.9 / 230","5.6 / 250","5.6 / 240","6.7 / 240","6.1 / 230","8.2 / 240","8.2 / 250","7.7 / 230","7.5 / 240","6.3 / 220","5.3 / 220","4.4 / 170","4.2 / 150","4.5 / 130","3.7 / 130","3.0 / 90","2.2 / 190","3.4 / 300","3.7 / 310","3.6 / 300","4.0 / 300","3.1 / 270","4.8 / 230","4.8 / 250","8.2 / 240"
"06","6.4 / 240","6.7 / 240","5.0 / 230","6.6 / 250","7.0 / 230","7.7 / 240","6.6 / 240","6.1 / 240","6.3 / 240","4.3 / 230","3.0 / 230","4.9 / 80","5.5 / 60","5.4 / 90","6.4 / 80","5.3 / 60","8.3 / 20","7.5 / 50","5.5 / 10","5.6 / 20","5.1 / 40","4.5 / 310","5.4 / 30","6.5 / 40","8.3 / 20"
"07","5.6 / 30","6.7 / 360","10.1 / 20","11.9 / 30","10.6 / 40","7.4 / 50","8.8 / 20","10.9 / 360","13.2 / 30","11.1 / 50","11.3 / 40","12.9 / 40","11.7 / 30","12.3 / 30","10.2 / 60","9.2 / 30","8.7 / 20","7.7 / 30","5.8 / 50","4.3 / 40","4.2 / 290","7.3 / 20","4.8 / 350","4.7 / 330","13.2 / 30"
"08","4.9 / 360","4.5 / 20","5.8 / 360","6.2 / 340","4.6 / 350","3.4 / 310","3.4 / 230","4.0 / 260","3.4 / 270","4.2 / 230","2.7 / 240","4.9 / 70","4.8 / 80","5.3 / 50","4.8 / 30","4.0 / 60","5.0 / 30","4.0 / 30","3.1 / 10","3.4 / 310","3.1 / 300","3.3 / 300","3.3 / 300","4.8 / 250","6.2 / 340"
"09","3.8 / 260","5.2 / 250","4.7 / 260","4.9 / 250","5.4 / 230","5.8 / 240","4.5 / 250","5.4 / 250","6.7 / 240","5.4 / 240","6.8 / 80","7.8 / 90","7.5 / 80","7.2 / 30","8.1 / 70","6.8 / 60","9.3 / 80","8.5 / 40","9.3 / 80","10.4 / 30","8.4 / 20","7.4 / 30","3.0 / 250","3.0 / 260","10.4 / 30"
"10","5.1 / 70","3.9 / 250","4.6 / 250","4.2 / 260","5.4 / 240","4.7 / 260","3.3 / 230","9.1 / 60","12.6 / 50","14.6 / 110","12.1 / 350","14.8 / 70","12.8 / 50","14.9 / 80","12.8 / 50","12.6 / 50","8.8 / 70","7.7 / 30","12.8 / 110","12.5 / 40","12.6 / 130","13.0 / 100","13.0 / 80","10.5 / 50","14.9 / 80"
