
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"01","0","0","0","0","0","0","0","0","1","3","5","4","6","3","0","0","0","0","0","0","0","0","0","0"
"02","0","0","0","0","0","0","0","0","0","0","1","2","2","1","1","0","0","0","0","0","0","0","0","0"
"03","0","0","0","0","0","0","0","1","2","3","3","4","4","2","1","1","0","0","0","0","0","0","0","0"
"04","0","0","0","0","0","0","0","2","4","7","9","11","11","9","6","2","0","0","0","0","0","0","0","0"
"05","0","0","0","0","0","0","0","2","3","4","6","7","7","9","5","2","1","0","0","0","0","0","0","0"
"06","0","0","0","0","0","0","0","2","4","7","10","10","10","9","6","2","1","0","0","0","0","0","0","0"
"07","0","0","0","0","0","0","0","1","4","7","8","8","7","4","2","2","1","0","0","0","0","0","0","0"
"08","0","0","0","0","0","0","0","1","0","1","2","2","1","1","1","0","0","0","0","0","0","0","0","0"
"09","0","0","0","0","0","0","0","1","1","4","6","7","7","5","2","1","0","0","0","0","0","0","0","0"
"10","0","0","0","0","0","0","0","1","3","6","7","10","11","7","4","2","1","0","0","0","0","0","0","0"
"11","0","0","0","0","0","0","0","1","3","5","5","8","9","9","6","3","1","0","0","0","0","0","0","0"
"12","0","0","0","0","0","0","0","1","3","6","7","10","11","7","4","1","0","0","0","0","0","0","0","0"
"13","0","0","0","0","0","0","0","0","0","1","1","1","2","1","1","1","0","0","0","0","0","0","0","0"
"14","0","0","0","0","0","0","0","1","2","2","4","6","5","3","2","2","1","0","0","0","0","0","0","0"
"15","0","0","0","0","0","0","0","2","4","6","9","10","9","7","4","2","1","0","0","0","0","0","0","0"
"16","0","0","0","0","0","0","0","2","4","6","9","9","8","6","3","1","1","0","0","0","0","0","0","0"
"17","0","0","0","0","0","0","0","1","4","6","6","7","6","1","2","1","1","0","0","0","0","0","0","0"
"18","0","0","0","0","0","0","0","1","4","6","8","9","9","5","2","2","1","0","0","0","0","0","0","0"
"19","0","0","0","0","0","0","0","1","2","3","5","5","4","3","3","2","1","0","0","0","0","0","0","0"
"20","0","0","0","0","0","0","0","1","3","6","5","5","6","3","2","2","1","0","0","0","0","0","0","0"
"21","0","0","0","0","0","0","0","1","3","3","6","9","9","5","4","2","1","0","0","0","0","0","0","0"
"22","0","0","0","0","0","0","0","2","5","6","8","13","12","8","2","0","0","0","0","0","0","0","0","0"
"23","0","0","0","0","0","0","0","2","4","6","6","10","4","3","1","1","0","0","0","0","0","0","0","0"
"24","0","0","0","0","0","0","0","1","2","3","3","6","5","4","2","0","0","0","0","0","0","0","0","0"
"25","0","0","0","0","0","0","0","1","2","4","6","7","4","4","3","2","1","0","0","0","0","0","0","0"
"26","0","0","0","0","0","0","0","1","3","6","5","5","5","3","2","2","1","0","0","0","0","0","0","0"
"27","0","0","0","0","0","0","1","2","4","8","10","7","10","7","4","4","2","0","0","0","0","0","0","0"
"28","0","0","0","0","0","0","0","0","0","0","0","1","3","3","1","1","0","0","0","0","0","0","0","0"
"29","0","0","0","0","0","0","1","2","4","8","8","10","10","10","6","3","1","0","0","0","0","0","0","0"
"30","0","0","0","0","0","0","0","1","5","4","6","10","11","8","4","1","1","0","0","0","0","0","0","0"
"31","0","0","0","0","0","0","1","3","5","9","12","13","13","10","5","3","1","0","0","0","0","0","0","0"
