
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","2.6 / 240","3.2 / 250","1.5 / 10","2.2 / 360","1.9 / 250","3.4 / 250","9.2 / 230","5.6 / 220","1.7 / 240","4.2 / 360","3.2 / 40","4.8 / 70","5.9 / 70","5.0 / 40","3.9 / 30","5.2 / 20","4.4 / 30","4.1 / 30","5.9 / 40","3.4 / 20","4.6 / 30","3.3 / 20","2.2 / 340","2.6 / 320","3.9"
"02","2.6 / 330","3.0 / 340","1.1 / 20","2.2 / 350","1.9 / 350","1.7 / 360","2.9 / 40","1.3 / 340","1.4 / 270","1.0 / 240","0.8 / 250","1.6 / 30","1.9 / 10","1.5 / 10","4.1 / 30","3.8 / 30","2.9 / 40","2.5 / 30","3.5 / 30","1.7 / 30","2.5 / 30","2.6 / 30","1.8 / 30","2.2 / 30","2.2"
"03","1.7 / 30","2.6 / 40","1.5 / 20","1.7 / 340","2.0 / 330","1.7 / 330","0.3 / 290","0.3 / 340","1.0 / 110","2.7 / 40","3.4 / 60","3.4 / 50","2.6 / 30","2.5 / 40","2.2 / 10","2.0 / 360","2.3 / 360","2.3 / 340","2.1 / 340","0.7 / 330","1.3 / 270","1.6 / 270","1.0 / 250","1.6 / 260","1.9"
"04","2.2 / 260","2.5 / 250","2.8 / 250","2.4 / 250","2.7 / 250","3.3 / 240","3.6 / 240","2.4 / 240","1.8 / 160","2.1 / 130","3.1 / 110","2.3 / 110","3.4 / 110","3.0 / 110","2.6 / 130","1.3 / 130","0.9 / 120","1.0 / 160","1.0 / 130","0.7 / 210","2.1 / 300","1.6 / 270","2.3 / 220","3.3 / 230","2.3"
"05","4.1 / 230","2.9 / 230","2.6 / 230","3.1 / 240","1.9 / 230","2.5 / 240","2.5 / 230","3.8 / 190","3.6 / 170","3.3 / 160","1.6 / 150","1.6 / 150","3.1 / 160","4.0 / 160","1.4 / 120","2.0 / 100","2.6 / 100","4.4 / 150","1.2 / 360","5.9 / 200","2.9 / 250","3.3 / 240","3.2 / 210","3.6 / 220","3.0"
"06","2.3 / 310","2.0 / 250","1.9 / 230","2.6 / 240","1.7 / 260","2.2 / 240","2.0 / 230","1.3 / 220","2.1 / 90","4.2 / 70","4.0 / 80","4.9 / 60","4.3 / 60","5.3 / 40","6.0 / 60","4.5 / 40","5.2 / 50","5.4 / 60","4.0 / 30","2.3 / 20","1.9 / 20","4.0 / 40","3.4 / 30","2.3 / 40","3.3"
"07","1.9 / 360","1.9 / 20","1.2 / 10","0.4 / 330","0.8 / 330","1.3 / 240","0.7 / 330","4.1 / 20","3.7 / 50","5.2 / 50","6.4 / 50","4.9 / 40","5.9 / 50","4.8 / 40","4.5 / 40","6.8 / 40","5.5 / 30","3.4 / 30","2.5 / 360","1.5 / 340","1.5 / 300","1.9 / 250","2.1 / 260","2.3 / 250","3.1"
"08","2.7 / 260","2.8 / 250","2.0 / 260","1.6 / 250","2.2 / 250","2.5 / 250","2.1 / 240","1.4 / 160","3.3 / 120","1.9 / 110","1.9 / 270","3.6 / 340","4.2 / 40","1.6 / 340","2.3 / 20","1.5 / 360","2.2 / 320","2.0 / 290","3.8 / 50","6.1 / 60","2.6 / 320","2.3 / 320","2.1 / 260","2.3 / 260","2.5"
"09","1.7 / 260","2.2 / 240","1.3 / 270","1.1 / 260","2.6 / 20","3.6 / 30","2.9 / 30","4.1 / 30","2.4 / 10","3.8 / 50","5.0 / 60","4.7 / 60","3.8 / 50","3.7 / 40","3.5 / 40","3.9 / 30","2.4 / 30","3.1 / 350","2.6 / 340","2.0 / 300","0.3 / 300","1.1 / 300","1.7 / 250","1.7 / 250","2.7"
"10","3.0 / 250","2.5 / 250","3.1 / 250","3.5 / 260","3.1 / 240","3.0 / 240","4.4 / 240","3.8 / 230","3.1 / 230","2.6 / 140","3.0 / 150","4.0 / 160","4.8 / 170","4.4 / 160","4.9 / 170","3.7 / 170","3.8 / 180","2.9 / 180","2.9 / 200","2.5 / 240","1.4 / 280","1.7 / 260","2.9 / 250","2.4 / 260","3.2"
