
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","87","86","86","88","86","86","85","81","78","81","76","74","74","77","83","82","82","86","92","90","90","94","94","94","85"
"02","94","93","92","94","94","93","93","94","94","93","91","91","94","92","92","89","90","92","93","89","90","93","95","95","93"
"03","94","92","90","87","86","85","85","81","79","76","76","76","77","77","78","90","88","87","89","91","89","86","89","86","85"
"04","84","86","85","84","82","80","80","77","67","61","60","64","66","66","66","67","67","71","69","69","71","75","70","74","73"
"05","70","71","67","66","73","75","72","69","56","58","62","62","69","67","68","65","63","67","68","71","72","73","74","78","68"
"06","77","81","80","84","84","83","84","79","69","74","76","79","79","83","84","85","85","86","86","87","90","93","94","96","83"
"07","96","97","97","97","97","97","96","97","96","93","85","79","78","81","88","94","95","96","96","97","97","97","97","97","93"
"08","97","97","97","98","97","97","96","87","82","81","81","80","79","79","81","81","83","85","85","91","90","90","91","92","88"
"09","92","92","92","93","94","93","90","79","76","78","78","78","82","80","79","77","77","90","92","92","93","95","95","96","87"
"10","96","96","96","96","97","97","96","94","83","83","83","78","82","79","78","78","81","81","79","80","82","81","81","86","86"
"11","86","88","90","91","89","91","89","87","79","79","76","80","83","86","85","77","83","86","86","85","85","86","89","89","85"
"12","91","90","84","87","89","90","87","84","78","83","80","82","79","82","80","76","72","78","74","80","85","85","84","86","83"
"13","80","80","86","86","89","90","87","86","83","80","77","73","66","68","69","69","78","77","75","75","77","81","84","85","79"
"14","86","85","87","86","88","83","82","82","83","78","78","79","75","77","71","74","80","78","84","86","83","83","88","86","82"
"15","84","87","84","79","84","83","80","75","77","81","77","70","66","67","65","66","67","70","65","65","77","76","80","79","75"
"16","76","77","77","79","77","82","79","72","73","78","78","81","84","82","83","83","82","81","81","85","86","84","85","86","80"
"17","86","88","86","87","86","88","85","81","78","75","78","80","78","78","79","83","83","89","91","91","91","91","89","84","84"
"18","86","81","82","85","84","89","80","74","75","83","77","72","79","74","74","78","78","78","84","85","84","86","86","85","81"
"19","82","88","89","89","90","87","84","73","79","79","75","78","79","76","78","84","89","94","95","94","94","93","94","95","86"
"20","95","95","95","95","93","92","86","76","78","77","79","81","80","79","83","86","86","79","86","89","91","90","89","89","86"
"21","90","91","91","90","91","88","86","75","73","73","80","81","79","80","81","85","87","87","88","87","90","87","89","82","85"
"22","83","81","85","82","85","80","78","73","73","78","81","81","81","80","81","83","83","84","84","85","88","89","90","89","82"
"23","90","89","91","92","92","83","85","80","77","79","76","76","78","79","80","83","87","86","86","86","85","84","85","86","84"
"24","87","88","89","89","80","85","82","76","81","78","79","80","79","79","80","80","84","86","87","86","91","95","95","94","85"
"25","94","93","93","91","91","90","85","76","72","70","73","77","81","81","80","80","78","79","81","83","79","79","80","85","82"
"26","87","89","87","88","88","88","82","78","72","77","78","79","78","77","78","79","82","81","74","74","77","82","84","85","81"
"27","83","84","83","76","86","80","74","70","72","81","80","77","78","77","80","78","77","76","80","76","78","79","79","79","78"
"28","83","82","80","85","81","78","77","72","71","72","78","78","79","80","81","83","78","87","88","88","92","93","94","94","82"
"29","92","90","92","93","93","91","89","78","72","76","78","81","80","82","81","78","88","92","89","85","89","89","88","90","86"
"30","90","91","91","88","89","88","82","75","74","73","74","71","70","71","73","74","74","80","82","85","86","85","84","86","81"
"平均","87","88","87","88","88","87","85","79","77","78","77","77","78","78","79","80","81","83","84","84","86","86","87","88","平均"
