
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","總和"
"01","--","--","--","--","--","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.5","0.0","--","--","--","--","--","11.5"
"02","--","--","--","--","--","0.0","0.8","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9","0.1","0.0","0.0","--","--","--","--","--","9.8"
"03","--","--","--","--","--","0.0","0.7","1.0","1.0","1.0","1.0","1.0","0.7","0.9","0.5","0.3","0.8","0.0","0.0","--","--","--","--","--","8.9"
"04","--","--","--","--","--","0.0","1.0","1.0","0.7","1.0","0.6","1.0","0.9","0.1","0.1","0.4","0.9","0.2","0.0","--","--","--","--","--","7.9"
"05","--","--","--","--","--","0.0","0.0","0.8","0.4","0.6","0.9","0.6","0.4","0.5","0.0","0.0","0.1","0.0","0.0","--","--","--","--","--","4.3"
"06","--","--","--","--","--","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9","1.0","0.1","0.0","--","--","--","--","--","11.0"
"07","--","--","--","--","--","0.0","0.9","1.0","1.0","1.0","1.0","1.0","0.6","0.9","0.5","0.0","0.0","0.0","0.0","--","--","--","--","--","7.9"
"08","--","--","--","--","--","0.0","0.9","0.7","0.5","1.0","1.0","0.2","0.9","0.4","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","5.6"
"09","--","--","--","--","--","0.0","0.9","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.1","0.0","--","--","--","--","--","11.0"
"10","--","--","--","--","--","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.8","0.6","0.2","0.0","0.0","--","--","--","--","--","9.6"
"11","--","--","--","--","--","0.0","0.9","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.6","0.0","0.0","--","--","--","--","--","10.5"
"12","--","--","--","--","--","0.0","0.0","0.0","0.0","0.0","0.1","0.7","0.9","1.0","0.7","0.9","0.3","0.0","0.0","--","--","--","--","--","4.6"
"13","--","--","--","--","--","0.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9","0.7","1.0","0.6","0.3","0.0","0.0","--","--","--","--","--","9.5"
"14","--","--","--","--","--","0.0","0.2","0.5","1.0","1.0","1.0","1.0","1.0","0.9","0.4","0.1","0.0","0.0","0.0","--","--","--","--","--","7.1"
"15","--","--","--","--","--","0.0","0.6","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.7","0.3","0.0","--","--","--","--","--","10.6"
"16","--","--","--","--","--","0.0","0.9","1.0","0.8","0.9","1.0","1.0","0.7","0.2","0.8","0.1","0.0","0.0","0.0","--","--","--","--","--","7.4"
"17","--","--","--","--","--","0.0","1.0","1.0","1.0","1.0","1.0","0.7","0.8","0.9","1.0","1.0","0.9","0.4","0.0","--","--","--","--","--","10.7"
"18","--","--","--","--","--","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0.0"
"19","--","--","--","--","--","0.1","0.7","0.7","1.0","1.0","1.0","1.0","1.0","1.0","0.9","0.4","0.4","0.0","0.0","--","--","--","--","--","9.2"
"20","--","--","--","--","--","0.0","0.9","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.7","0.2","0.0","--","--","--","--","--","10.8"
"21","--","--","--","--","--","0.0","0.0","0.0","0.0","0.6","0.9","1.0","0.9","0.5","0.3","0.0","0.0","0.0","0.0","--","--","--","--","--","4.2"
"22","--","--","--","--","--","0.0","0.0","0.1","0.6","0.1","0.2","0.4","0.1","0.2","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1.7"
"23","--","--","--","--","--","0.0","0.0","0.0","0.3","0.0","0.5","0.6","0.1","0.0","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1.5"
"24","--","--","--","--","--","0.0","0.6","0.2","0.9","1.0","1.0","1.0","0.7","0.7","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","6.1"
"25","--","--","--","--","--","0.0","0.2","0.0","0.1","0.9","0.7","0.9","0.9","0.7","0.2","0.0","0.0","0.0","0.0","--","--","--","--","--","4.6"
"26","--","--","--","--","--","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.1","0.0","0.0","0.0","0.0","--","--","--","--","--","0.2"
"27","--","--","--","--","--","0.0","0.0","0.3","0.9","0.7","1.0","1.0","0.8","0.2","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","4.9"
"28","--","--","--","--","--","0.0","0.0","0.0","0.5","0.8","1.0","0.8","0.8","0.8","0.5","0.2","0.0","0.0","0.0","--","--","--","--","--","5.4"
"29","--","--","--","--","--","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","--","--","--","--","--","0.1"
"30","--","--","--","--","--","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.2","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0.3"
"總和","--","--","--","--","--","0.1","15.2","17.3","19.7","21.6","22.9","23.0","21.2","18.8","14.8","11.4","9.1","1.8","0.0","--","--","--","--","--","總和"
