序號,答案
20240117090001,78.17
20240117091001,76.77
20240117092001,76.8
20240117093001,79.17
20240117094001,81.2
20240117095001,83.12
20240117100001,83.88
20240117101001,96.42
20240117102001,107.64
20240117103001,123.77
20240117104001,144.22
20240117105001,164.23
20240117110001,207.68
20240117111001,236.77
20240117112001,257.65
20240117113001,265.93
20240117114001,262.34
20240117115001,249.7
20240117120001,238.38
20240117121001,223.99
20240117122001,217.23
20240117123001,216.7
20240117124001,215.88
20240117125001,224.63
20240117130001,272.06
20240117131001,328.72
20240117132001,349.74
20240117133001,318.73
20240117134001,269.93
20240117135001,292.78
20240117140001,413.9
20240117141001,507.63
20240117142001,436.44
20240117143001,238.02
20240117144001,84.06
20240117145001,35.39
20240117150001,39.06
20240117151001,39.68
20240117152001,36.31
20240117153001,30.43
20240117154001,23.95
20240117155001,17.79
20240117160001,12.69
20240117161001,9.41
20240117162001,6.32
20240117163001,4.58
20240117164001,3.65
20240117165001,2.02
20240119090001,215.34
20240119091001,232.46
20240119092001,237.97
20240119093001,236.5
20240119094001,250.67
20240119095001,295.39
20240119100001,345.98
20240119101001,398.72
20240119102001,610.46
20240119103001,1001.25
20240119104001,1180.33
20240119105001,1184.49
20240119110001,1181.26
20240119111001,1198.98
20240119112001,1228.83
20240119113001,1279.15
20240119114001,1332.02
20240119115001,1242.6
20240119120001,1030.46
20240119121001,822.46
20240119122001,697.7
20240119123001,739.43
20240119124001,952.99
20240119125001,1222.31
20240119130001,1255.49
20240119131001,1054.31
20240119132001,733.6
20240119133001,542.66
20240119134001,488.77
20240119135001,529.9
20240119140001,548.7
20240119141001,478.35
20240119142001,382.25
20240119143001,288.5
20240119144001,199.14
20240119145001,142.12
20240119150001,99.49
20240119151001,74.5
20240119152001,55.88
20240119153001,41.41
20240119154001,30.86
20240119155001,24.24
20240119160001,18.75
20240119161001,16.2
20240119162001,13.03
20240119163001,9.59
20240119164001,6.3
20240119165001,4.57
20240224090001,56.0
20240224091001,77.96
20240224092001,106.07
20240224093001,128.68
20240224094001,131.41
20240224095001,165.5
20240224100001,231.1
20240224101001,296.99
20240224102001,304.08
20240224103001,286.3
20240224104001,303.37
20240224105001,288.14
20240224110001,228.21
20240224111001,230.45
20240224112001,220.22
20240224113001,194.88
20240224114001,156.19
20240224115001,115.83
20240224120001,73.69
20240224121001,52.84
20240224122001,48.48
20240224123001,53.07
20240224124001,57.78
20240224125001,60.89
20240224130001,62.43
20240224131001,58.59
20240224132001,50.88
20240224133001,43.05
20240224134001,36.19
20240224135001,31.23
20240224140001,25.94
20240224141001,25.8
20240224142001,23.87
20240224143001,20.76
20240224144001,17.02
20240224145001,14.13
20240224150001,10.31
20240224151001,8.8
20240224152001,6.79
20240224153001,5.15
20240224154001,4.0
20240224155001,3.69
20240224160001,1.77
20240224161001,1.38
20240224162001,0.79
20240224163001,0.04
20240224164001,0.0
20240224165001,0.0
20240226090001,37.46
20240226091001,42.4
20240226092001,49.43
20240226093001,59.94
20240226094001,75.81
20240226095001,92.16
20240226100001,111.54
20240226101001,121.56
20240226102001,130.32
20240226103001,136.82
20240226104001,141.5
20240226105001,143.2
20240226110001,137.43
20240226111001,123.15
20240226112001,99.7
20240226113001,73.39
20240226114001,50.83
20240226115001,36.84
20240226120001,27.45
20240226121001,26.43
20240226122001,26.49
20240226123001,28.32
20240226124001,33.19
20240226125001,41.66
20240226130001,49.97
20240226131001,54.55
20240226132001,54.09
20240226133001,50.37
20240226134001,45.11
20240226135001,40.35
20240226140001,33.39
20240226141001,31.25
20240226142001,27.59
20240226143001,24.03
20240226144001,20.86
20240226145001,18.07
20240226150001,14.42
20240226151001,12.61
20240226152001,10.83
20240226153001,9.25
20240226154001,7.83
20240226155001,6.58
20240226160001,6.86
20240226161001,3.77
20240226162001,2.36
20240226163001,1.5
20240226164001,0.41
20240226165001,0.69
20240327090001,97.41
20240327091001,107.81
20240327092001,121.32
20240327093001,157.33
20240327094001,237.99
20240327095001,358.44
20240327100001,503.31
20240327101001,587.36
20240327102001,642.34
20240327103001,714.56
20240327104001,865.17
20240327105001,896.32
20240327110001,732.5
20240327111001,547.51
20240327112001,409.0
20240327113001,335.17
20240327114001,287.81
20240327115001,258.27
20240327120001,240.27
20240327121001,233.16
20240327122001,231.19
20240327123001,224.7
20240327124001,203.78
20240327125001,182.96
20240327130001,136.66
20240327131001,85.29
20240327132001,67.58
20240327133001,51.91
20240327134001,32.95
20240327135001,22.38
20240327140001,16.21
20240327141001,14.98
20240327142001,14.6
20240327143001,13.54
20240327144001,12.08
20240327145001,10.65
20240327150001,8.56
20240327151001,7.34
20240327152001,6.05
20240327153001,4.74
20240327154001,3.56
20240327155001,2.92
20240327160001,2.68
20240327161001,2.44
20240327162001,1.91
20240327163001,1.09
20240327164001,0.17
20240327165001,0.29
20240329090001,17.21
20240329091001,14.27
20240329092001,12.89
20240329093001,11.67
20240329094001,10.82
20240329095001,10.42
20240329100001,9.72
20240329101001,11.08
20240329102001,11.83
20240329103001,12.16
20240329104001,12.42
20240329105001,13.15
20240329110001,12.31
20240329111001,12.66
20240329112001,13.09
20240329113001,13.63
20240329114001,14.45
20240329115001,15.65
20240329120001,15.27
20240329121001,15.85
20240329122001,16.06
20240329123001,16.2
20240329124001,16.51
20240329125001,17.2
20240329130001,18.12
20240329131001,19.23
20240329132001,19.96
20240329133001,20.23
20240329134001,20.63
20240329135001,21.19
20240329140001,21.0
20240329141001,19.54
20240329142001,17.53
20240329143001,14.92
20240329144001,11.98
20240329145001,9.45
20240329150001,7.92
20240329151001,6.75
20240329152001,5.44
20240329153001,4.19
20240329154001,3.0
20240329155001,1.93
20240329160001,0.9
20240329161001,0.22
20240329162001,0.0
20240329163001,0.0
20240329164001,0.0
20240329165001,0.0
20240428090001,101.39
20240428091001,93.12
20240428092001,79.54
20240428093001,63.91
20240428094001,50.46
20240428095001,49.39
20240428100001,76.56
20240428101001,112.61
20240428102001,249.29
20240428103001,479.01
20240428104001,779.96
20240428105001,892.4
20240428110001,853.57
20240428111001,922.29
20240428112001,865.96
20240428113001,590.75
20240428114001,437.42
20240428115001,361.46
20240428120001,367.05
20240428121001,396.94
20240428122001,366.65
20240428123001,294.88
20240428124001,215.86
20240428125001,140.89
20240428130001,90.27
20240428131001,75.35
20240428132001,67.82
20240428133001,63.46
20240428134001,58.74
20240428135001,52.64
20240428140001,47.36
20240428141001,51.55
20240428142001,71.07
20240428143001,99.24
20240428144001,130.0
20240428145001,167.48
20240428150001,195.37
20240428151001,205.55
20240428152001,194.0
20240428153001,166.06
20240428154001,133.18
20240428155001,105.03
20240428160001,76.78
20240428161001,57.6
20240428162001,41.54
20240428163001,30.07
20240428164001,23.2
20240428165001,20.88
20240430090001,1024.23
20240430091001,1108.2
20240430092001,1187.12
20240430093001,1252.74
20240430094001,1294.05
20240430095001,1277.26
20240430100001,1257.05
20240430101001,1266.2
20240430102001,1322.79
20240430103001,1392.5
20240430104001,1448.47
20240430105001,1476.01
20240430110001,1483.93
20240430111001,1471.2
20240430112001,1465.43
20240430113001,1465.81
20240430114001,1458.05
20240430115001,1431.46
20240430120001,1391.04
20240430121001,1339.19
20240430122001,1264.89
20240430123001,1132.25
20240430124001,986.34
20240430125001,930.51
20240430130001,978.2
20240430131001,1042.99
20240430132001,1051.76
20240430133001,999.73
20240430134001,920.83
20240430135001,861.21
20240430140001,778.54
20240430141001,611.33
20240430142001,384.39
20240430143001,257.85
20240430144001,216.43
20240430145001,160.7
20240430150001,94.36
20240430151001,58.8
20240430152001,41.0
20240430153001,29.25
20240430154001,20.78
20240430155001,15.56
20240430160001,8.41
20240430161001,6.66
20240430162001,6.27
20240430163001,5.74
20240430164001,4.91
20240430165001,4.97
20240515090001,850.13
20240515091001,930.73
20240515092001,1014.33
20240515093001,1095.4
20240515094001,1150.38
20240515095001,1169.64
